职位名,公司,薪资,城市,区域,商圈,详细地址,经验,学历,职位标签,福利,岗位描述,HR 名称,HR 职位,活跃时间,职位链接,筛选状态,筛选原因,采集错误
Python 后端架构师（AI Infra经验优先）,希优科技,22-35K,杭州,,,杭州余杭区华东勘测设计研究院(西溪院区)高教路201号,5-10年,本科,Java、PostgreSQL、Hadoop、机器学习经验、Kafka、Docker、MySQL、云计算经验、MongoDB、架构设计经验、Oracle、Linux开发/部署经验、Python,五险一金、带薪年假,"岗位职责：
1、主导后端系统与平台基础设施的架构设计，制定高性能、可扩展、高可用的技术方案，⽀撑核⼼业务与平台能⼒建设。
 2、负责核心模块开发与性能优化，解决分布式系统中的高并发、任务调度、数据⼀致性、服务稳定性等复杂技术问题。
 3、建设和优化平台基础能力，包括服务治理、异步任务体系、资源调度、可观测性（日志/指标/链路）、配置与发布体系。
 4、负责技术预研与选型，评估新技术和开源组件落地风险，主导关键技术难题攻关。
 5、与产品、算法、运维、前后端研发协作，推进复杂系统架构方案落地，保障线上稳定性与交付效率。
 6、培养技术团队，建立工程规范和架构治理机制，提升团队整体开发效率与架构能力。
 7、（结合业务场景）参与 AI 相关基础能力建设，如模型服务接入、推理服务治理、任务编排、资源调度与运行稳定性优化。
岗位要求（核心能力）
1、计算机相关专业本科及以上学历，5年以上后端开发经验，2年以上架构设计经验。
 2、具备扎实的后端架构能力，能够独立完成中大型系统的架构设计、模块拆分与关键路径优化。
 3、精通至少一门后端开发语言（Java / Go / Python 之一），具备良好的工程编码能力与性能优化经验；熟悉 Python 者优先。
 4、熟悉 Linux 系统、网络编程、并发模型（多线程/多进程/协程）及常见并发控制方案，具备线上性能问题分析与调优经验。
 5、精通分布式系统设计，熟悉微服务架构、服务注册发现、配置中心、限流熔断、灰度发布等治理能力。
 6、掌握高可用架构设计（容灾、负载均衡、故障恢复、降级策略），具备复杂线上问题排查与稳定性治理经验。
 7、熟悉数据库设计与性能优化（MySQL/PostgreSQL，索引优化、事务、分库分表等），掌握缓存技术（Redis/Memcached）与常见缓存一致性方案。
 8、掌握消息队列与异步架构（Kafka/RabbitMQ/RocketMQ 等），熟悉任务队列、幂等、重试、延迟任务等机制。
 9、熟悉 RPC/接口通信机制（gRPC/HTTP/WebSocket 等），能够设计统一 API 规范与服务接口治理方案。
10、熟悉大模型领域常用 Agent 框架，比如 deepagents、deerflow 等
（优先项）AI Infra / 平台化经验
1、具备 AI Infra / 大模型平台 / 模型服务平台 相关经验，参与过模型部署、推理服务治理、任务编排或资源调度平台建设。
 2、熟悉容器化与云原生体系（Docker/K8s），理解 Pod 调度、资源限制、HPA、Job/CronJob、Operator/CRD 等机制。
 3、有 AI 场景下服务运行与调度经验，理解任务状态机、重试恢复、幂等、可观测性等平台能力建设。
 4、熟悉模型服务或推理框架（如 FastAPI/Uvicorn/Gunicorn、Ray Serve、Triton、vLLM、TGI 等）者优先。
 5、有任务调度系统经验（Celery/Airflow/Argo/Ray/K8s Job/自研调度）者优先。
 6、有 GPU/CPU 混合资源调度、资源配额、优先级队列、多租户平台经验者优先。
 7、有 AI 平台稳定性治理经验者优先（如部署成功率、任务失败率、推理延迟、资源利用率优化）。
（加分项）工程能力与技术广度
1、熟悉 Python 技术栈（FastAPI/Flask/Django 等）或具备 Python 服务工程化经验者优先。
 2、熟悉容器化（Docker/K8s）、云服务（AWS/GCP/Aliyun）及常见中间件运维治理。
 3、有高并发项目、复杂平台架构落地、开源项目贡献经验者优先。
 4、具备可观测性体系建设经验（Prometheus/Grafana/ELK/OpenTelemetry/Jaeger 等）者优先。
 5、具备成本优化意识，有资源利用率优化、容量评估、压测体系建",石晶,人事,刚刚活跃,https://www.zhipin.com/job_detail/15f365c676e571610nd43dy-FlVX.html,通过,通过,
Python,杭州守心智能,15-25K·13薪,杭州,余杭区,勾庄,杭州余杭区平高创业城C5栋2411室,3-5年,本科,爬虫经验、Docker、Elasticsearch、PostgreSQL、机器学习经验、Redis、MongoDB、Linux开发/部署经验、Python、TensorFlow,,"岗位职责：
1、加入专注、极致、快速发展的团队，通过数据驱动的方式来赋能和驱动行业发展；
2、负责公司战略级大数据平台的设计与开发；
3、技术预研、探索并应用大数据等前沿技术。
4、对ChatGPT类大模型有一定了解，有经验的尤其佳！
任职要求：
1、本科以上学历，计算机相关专业，二年以上Python开发经验；
2、热爱编码, 对创新及解决有挑战性的问题充满激情；
3、精通Python开发语言，精通SQL和数据库原理；
4、扎实的数据结构和算法知识，熟悉常用设计模式；
5、了解大数据产品和技术，如开源大数据框架（如Hadoop、Spark，Storm等）或公有云大数据平台（阿里云、AWS等）；
6、具备优秀的逻辑思维能力和自驱力，有良好的沟通能力和团队协作精神。
7、有ChatGPT或者国产大模型落地开发经验的尤佳！",吴建勇,产品经理,本周活跃,https://www.zhipin.com/job_detail/185b4329b5efc9701Hd-2du7FFNY.html,通过,通过,
AI开发工程师（Python / Go方向）,提瑞,10-15K,杭州,余杭区,五常,杭州余杭区未来天空中心-A座A座301,1-3年,本科,MySQL、Redis、Python、Flask,节日福利、五险一金、零食下午茶、年终奖、交通补助、带薪年假、通讯补贴、股票期权、员工旅游,"工作职责
1.负责公司AI核心平台、模型服务及相关系统的设计、开发与维护；
2.封装AI模型推理接口，提升服务性能与可用性；
3.负责AI系统相关模块的编码实现、接口设计与单元测试；
4.参与服务部署、性能调优与故障排查，保障AI平台稳定运行；
5.编写规范的开发文档、技术文档，持续优化代码质量与工程体系；
6.积极参与技术评审与协作，推动团队技术能力持续提升；
7.配合前端团队，设计和开发后端接口，提升前后端协作效率；
8.具备一定前端开发能力者，可参与AI平台前端界面及管理控制台开发工作。

招聘要求
1.大学本科及以上学历，计算机或相关专业，具备2年及以上后端开发经验；
2.熟练掌握Python、Go语言中的至少一门，具有扎实的编程基础与良好的编码规范；
3.熟悉常见Web框架（如FastAPI、Flask、Gin等），具备服务化设计与开发经验；
4.具备Web框架对接AI的实际经验，处理过SSE及相关的格式数据、流式数据。
5.熟悉AI相关领域，如模型推理、数据预处理、接口封装等，有AI平台、LLM应用、AIGC产品相关经验者优先；
6.熟悉OpenAI、LangChain等开源生态，有实际使用或集成经验者优先；
7.熟练使用Coze、阿里云百炼等AI平台，并有实际搭建Agent、RAG，集成api等工作经验。
8.熟悉常见数据库（如MySQL、Redis），具备一定的SQL编写与优化能力；
9.具备一定前端开发基础，了解至少一种主流前端框架（如Vue、React等），能够独立完成前端页面开发者优先；
10.具备良好的沟通能力、团队协作意识及责任心；
11.具备较强的问题分析与解决能力，能够主动思考，推动问题闭环；
12.善于技术总结，有良好的文档整理能力和技术表达能力；
13.具备持续学习意愿和技术热情，能够适应变化，愿意接受挑战。",杨女士,HR,刚刚活跃,https://www.zhipin.com/job_detail/07fe805031e311da03J62Nq-GFBR.html,通过,通过,
Python,杭州签识科技,15-18K,杭州,临平区,星桥,杭州临平区浙华星创众创空间1幢7楼,3-5年,本科,Nginx、PostgreSQL、Python、Flask,零食下午茶、股票期权、绩效奖金,"任职要求：
1、扎实的Python基础，熟练使用至少一种主流Web框架（FastAPI / Django / Flask等）。
2、熟练掌握PostgreSQL等关系型数据库的表结构设计与性能优化（索引策略、慢查询分析、表结构调优等）。
3、并发与异步能力：熟悉Redis缓存技术，掌握Python异步编程（asyncio等），熟悉异步任务队列（如Celery）的原理与实战应⽤，能独⽴排查并发相关线上问题。
4、了解消息中间件（RabbitMQ / Kafka等）的使⽤场景与基本原理。
5、有大型开源Python项目经历，擅长使⽤AI编程工具，对开源项目做二次开发的优先。

岗位职责：
1、参与后端核心模块开发，包括用户系统、AI 模型集成层、社区系统、支付订阅等功能的接口实现；
2、对接各类 AI 模型 API（图像 / 视频 / 文本生成），负责 API 封装、队列管理、异步任务调度，保障 AI 能力稳定落地；
3、设计并实现高效的数据库交互逻辑，基于 PostgreSQL/Redis 完成数据存储、缓存、队列相关开发；
4、配合前端工程师完成接口联调，解决开发过程中的技术问题，保障接口性能与稳定性；
5、具备良好的代码风格，熟悉 Git 版本控制，有单元测试、接口测试实践经验；
6、有创业公司 / 快速迭代项目经验优先，具备较强的问题解决能力和抗压能力；

薪资福利：
1、月薪 15000-18000 元，根据能力可上浮；
2、单休，五险，弹性工作时间，不强制打卡；
3、创业公司期权激励，优秀者可成为核心团队成员。",郭星平,CTO,刚刚活跃,https://www.zhipin.com/job_detail/3a855b7d281a1dc30nd53tS5E1JW.html,通过,通过,
python高级开发工程师,范斯凯,29-45K·15薪,杭州,滨江区,浦沿,杭州滨江区泰格医药科创园滨江区浦沿街道陆家潭街508号（B区2楼）,5-10年,本科,Golang、Nginx、Django、Redis、Python、Flask,意外险、高温补贴、定期体检、节日福利、带薪年假、全勤奖、生日福利、团建聚餐、年终奖、补充医疗保险、通讯补贴、零食下午茶、加班补助、五险一金、交通补助,"岗位职责
1、具备系统集成能力，能够对接各类第三方平台与服务（如支付、消息、AI、设备平台、ERP/CRM、医疗系统等），完成接口封装、数据同步及异常处理；
2、理解业务流程并参与系统设计，支持复杂业务场景实现；
3、能够独⽴完成⼦系统的后端开发与调试，并保障系统稳定运⾏；
4、关注系统的安全性、鲁棒性与可扩展性，推动相关合规要求在工程中的落地；
5、主动推动问题闭环，在需求不完备或跨团队协作场景下能够独立拆解问题并落地交付。
任职要求
1、本科及以上学历，计算机相关专业，211/985院校优先考虑；
2、5年以上开发经验（关键看online的实际落地与持续迭代能⼒，而非单纯年限）；
3、能够独立负责中小型系统的设计、开发与上线；
4、熟悉至少一种主流后端语言（Python 优先），能够完成 API 设计与核心业务逻辑实现；
5、熟悉 RESTful API 设计规范，具备第三方系统对接经验（鉴权、Webhook、限流、重试、数据一致性等）；
6、熟悉 MySQL / PostgreSQL 等数据库，具备数据建模能力，理解事务与性能优化基本原则；
7、具备良好的安全意识，能够在系统设计中考虑权限控制、数据保护与异常场景处理；
8、具备良好的英文读写能力。

加分项
有高并发高行业经验；
具备 K8s 容器化部署经验，熟悉Docke、海量数据系统的设计和开发经验；
有第三方系统深度集成经验（如医疗、设备平台、ERP、CRM 等）；
有数据安全或合规要求较r 镜像构建与应用容器化流程，了解 Helm、配置管理及 CI/CD 集成流程；
熟悉前端开发（HTML5 / CSS3 / JavaScript），精通 React 或 Vue 至少一种，理解现代前端工程体系；
具备 Web 前端多端适配经验，能够基于响应式布局实现 PC / 平板 / 移动端页面适配；
熟悉阿里云，Google Cloud和Vertex AI使用和部署；
具备良好的英文听说能力；
熟悉美国医疗行业业务流程（如医疗设备销售、DME 流程、处方流转、保险/理赔等）",余女士,招聘经理,刚刚活跃,https://www.zhipin.com/job_detail/e436bdf0abcd98bc0nd_3N28ElpT.html,通过,通过,
后端工程师Python/Django（AI/金融方向）,杭州交子时代科技,11-20K·14薪,杭州,萧山区,靖江,杭州萧山区东航·云锦天地MU PLAZA(建设中)816,3-5年,本科,Django、Redis、其他、Python,员工旅游、节假日加班费、企业年金、全勤奖、股票期权、零食下午茶、包吃、住房补贴、五险一金、有无线网、加班补助、免费班车、定期体检、绩效奖金、节日福利、年终奖、保底工资、免费工装,"关于项目
**技术栈**：Django、Celery/Beat、OpenAI API、postgreSQL、Redis，RabbitMQ，容器化技术 + Nginx
**代码要点**：AI 对话/分析接口、AI调用、Django任务与ORM数据模型设计、任务队列与定时任务

--- 


## 工作职责

- 设计与实现后端接口（含鉴权、分页、异常与日志），包括新建和管理异步任务（Celery/Beat），并维护Swagger文档

- 接入与封装第三方服务（OpenAI 类接口、腾讯云全家桶）

- 处理文件上传/解析（PDF/大文件），保障安全与性能

- 数据处理与简单金融分析（Pandas/NumPy/AkShare 等）

- 协助编写单元测试与基础监控告警，参与容器化部署与故障排查

--- 


## 任职要求（必备）

- 熟练 Python，2 年以上编程经验（接受优秀应届生）

- 熟练使用 PostgreSQL 与 Django ORM，具备基本数据建模能力

- 金融数据/量化背景（行情、净值、回测、风险评估）

- 了解 SSE/流式接口、生成器/迭代器与反向代理配置

- 能读写第三方 SDK（OpenAI/Tencent Cloud），处理鉴权、限流与错误重试

- 熟练使用Git，了解CI/CD流程，可以做到独立发布代码以及发布版本

- 工作方式与协作，使用 Git + Code Review，约定提交信息与分支策略
具备良好的代码风格、测试意识与文档习惯

- 执行力强，有自主解决问题的意识和能力

--- 


## 加分项

- 会用 Docker/K8s与 Nginx 基础配置

- 熟悉 JWT 鉴权、CORS/CSRF、安全基线与中间件

- 掌握 Celery（任务重试、定时任务、幂等与序列化）

- 对象存储直传、签名 URL、权限模型经验（OSS/COS/S3）

- 性能调优与可靠性治理（缓存、任务路由、监控/告警）

- 熟悉敏捷开发模式

--- 


## 面试与试题示例

- （todo）

--- 




>

关键词：
Django、Celery、ORM、OpenAI API、Docker、K8S、Redis、RabbitMQ、Nginx、Pandas/NumPy",朱先生,运营,半年前活跃,https://www.zhipin.com/job_detail/e7bfad0a3015e29b03J93dq6FFtT.html,已过滤,"活跃度过滤: 不活跃, [半年前活跃]",
测试开发工程师(Python),玳能科技,13-20K·14薪,杭州,钱塘区,下沙,杭州钱塘区浙江杭州出口加工区——,3-5年,本科,,带薪年假、全勤奖、通讯补贴、餐补、定期体检、补充医疗保险、加班补助、五险一金、免费班车、员工旅游、年终奖,"岗位职责:
1.负责玳能科技Python相关测试开发工作
2.参与测试用例的设计与执行，确保软件质量
3.与团队合作，共同解决技术难题

任职要求:
1.具备扎实的Python编程能力
2.熟悉测试开发流程，能够独立完成任务
3.具有良好的团队合作精神，能够有效沟通",金玲玉,HR,3日内活跃,https://www.zhipin.com/job_detail/1f476e11766b0f3d03xy0t28EFJU.html,通过,通过,
python开发工程师,远和资产,20-40K·16薪,杭州,余杭区,未来科技城,杭州余杭区EFC英国中心东楼4401,3-5年,本科,,团建聚餐、交通补助、定期体检、员工基金、意外险、餐补、生日福利、企业年金、保底工资、带薪年假、补充医疗保险、底薪加提成、五险一金、零食下午茶、额外假期、股票期权、节日福利、健身房、年终奖、员工旅游,"职位描述
1. 开发并维护内部数据服务系统；
2. 开发并维护回测平台等系统；
3. 量化研究工具链构建；
4. 前沿技术探索与应用；
职位要求
1. 技术能力
  - 精通Python语言及⽣态（如NumPy/Pandas/Polars、异步编程、元编程），熟悉CPython解释器原理；
  - 熟悉关系型数据库、时序数据库、分布式存储系统；
  - 熟悉分布式计算框架（Dask/Ray），了解任务调度与资源管理机制；
  - 具备Linux系统调优经验（如⽂件系统、⽹络、内核参数），掌握C/C++扩展开发或Rust集成能力者优先；
  - 熟悉容器化（Docker/K8s）及CI/CD工具链者加分。
2. ⾏业经验
  - 有金融量化领域开发经验，熟悉因子计算、回测系统或高频数据处理者优先；
  - 具备TB级数据处理或高并发系统开发经验，对低延迟、高吞吐场景有深刻理解。
3. 学历要求
  - 国内外名校毕业，计算机及相关专业；
4. 软性要求
  - 强烈的技术好奇心与自驱力，能独立攻克复杂技术问题；
  - 优秀的沟通能力，能将技术方案转化为对研究团队的实际效率提升；
  - 对代码质量有极高要求，注重可维护性与文档规范。",孙静贤,HR,本周活跃,https://www.zhipin.com/job_detail/891edec3768378840nd40t61GVVR.html,通过,通过,
云原生开发工程师(python),杭州纽鼐机器人,20-40K·14薪,杭州,萧山区,新街,杭州萧山区NEURA Robotics中国总部2楼,5-10年,本科,Scrapy、Docker、Django、MySQL、Redis、Tornado、MongoDB、Oracle、Python、Flask、HBase,带薪年假、五险一金、高温补贴、年终奖、团建聚餐、零食下午茶、定期体检、有无线网、保底工资、法定节假日三薪、节日福利、免费工装,"岗位职责：
负责 AI 平台数据闭环后端服务的设计与开发，支撑数据采集、处理、标注、模型训练、推理反馈等全链路核心功能，构建高性能、⾼可⽤、可扩展的分布式系统架构。
1. 设计并开发⾼性能微服务架构，支撑数据流转、任务调度、资源管理与分布式训练。
2. 实现数据处理、模型版本管理、权限控制、结果反馈等核心模块，打通数据 - 模型 - 业务的闭环链路。
3. 保障系统的安全性、稳定性与可扩展性，优化⾼并发场景下的性能表现。
4. 与前端、算法及数据团队协作，定义接口规范与功能需求，推动数据闭环流程落地。

任职要求：
1. 5年及以上后端开发经验，会以下任一一门语言：Go/Python/Node.js，最好会C++；如果擅长Java，必须同时会C++。
2. 熟悉分布式系统、微服务架构，掌握 MySQL/Redis/Kafka/Elasticsearch 等常用存储与中间件技术。
3. 了解数据工程、机器学习工程基本流程，有数据采集、处理或模型服务相关经验者优先。
4. 具备良好的代码规范与工程化意识，熟悉 Docker/K8s 等容器化部署方案。",王嘉蕾,人事,2026/5/12 16:30:31,https://www.zhipin.com/job_detail/13527e3170dbbd740nd_3tm5EFRZ.html,通过,通过,
AI应用后端工程师（python）,讯盟科技,30-40K·16薪,杭州,西湖区,西溪,杭州西湖区杭州蒋村商务中心B1座蒋村商务中心B1座9楼讯盟科技,5-10年,本科,架构设计经验、Python,年终奖、股票期权、五险一金、零食下午茶、带薪年假、节日福利,"职位描述
1、负责 LLM 在通用智能助手领域(如搜索、创作等场景)的应用与落地，持续优化产品体验;
2、探索并建设 LLM 应用⼯程架构，保障产品的快速迭
代、稳定性;
3、持续跟进 LLM 前沿技术、开源⽅案，推动适合的技术应⽤于生产，解决业务的实际问题。

职位要求
1、有良好的产品意识，能够主动思考并探索产品方向创新;
2、有较强的学习能⼒，有强烈的求知欲、好奇心和进取
心，能及时关注和学习业界最新技术
3、扎实的计算机基础知识，丰富后端研发经验，熟悉Golang、Python及相应框架环境和常用技术组件;
4、积极乐观，责任心强，工作认真细致，有良好的团队沟通和协作能力;
5、有 AI工程落地经验者优先,",温女士,HRBP,2026/5/12 16:26:33,https://www.zhipin.com/job_detail/233d864860936c6903Nz3tu5E1tQ.html,通过,通过,
Python,友店,12-20K,杭州,余杭区,金家渡,杭州余杭区杭州首展科技有限公司首展2楼,3-5年,本科,Django、MySQL、机器学习经验、Numpy、量化交易开发经验、Python,五险一金、定期体检、年终奖、股票期权、带薪年假、节日福利,"Python开发工程师（量化方向）

岗位职责
- 负责量化交易策略的Python脚本开发、调试与优化，包括因子挖掘、策略回测、实盘对接等全流程工作；

- 基于Python完成⾏情数据、交易数据的⾤集、清洗、分析与可视化，搭建⾼效的数据处理管道；

- 对接券商、交易所API及第三方数据接口（如Tushare、AkShare等），实现策略实盘部署、自动化交易及监控；

- 配合量化研究员完成策略迭代、参数优化，提升策略收益与稳定性，解决开发过程中的技术难点；

- 维护量化交易系统的⽇常运行，排查线上问题，优化代码性能，确保交易流程顺畅、低延迟；

任职要求

1. 本科及以上学历，计算机、数学、统计、金融工程等相关专业，2-3年Python开发经验。

2.  精通Python语言，熟练运用Pandas、NumPy、SciPy等数据处理库，掌握常用的数据存储方式（MySQL、MongoDB、HDF5等）,具备高效的数据清洗、分析能力；

3.   熟悉至少1种量化回测框架（Backtrader、VectorBT、Zipline、vn.py等），有完整的策略开发与回测经验优先；

4.  了解量化交易基本逻辑，熟悉股票、期货、币圈等至少一个领域的交易规则，有实盘对接经验者优先；",孙女士,HRBP,刚刚活跃,https://www.zhipin.com/job_detail/df521b3d4b28bcb60nZy2dq0EFFQ.html,通过,通过,
Python,蕾蓝科技,10-15K,杭州,萧山区,宁围,杭州萧山区中国移动移动创新研究院,3-5年,本科,数据结构、MySQL、Redis、Oracle、Django、Tornado、Python工程师、后端开发,节日福利、带薪年假、年终奖、五险一金,"职位: 高级Python开发工程师
【岗位职责】：
1、 负责项目后台逻辑的开发工作；
2、 负责数据库结构的开发与维护；
3、 参与相关产品需求讨论与产品系统架构的设计和优化；
4、 负责基于现有产品模块的修改及优化

【任职要求】：
1、 扎实的python基础，熟悉Tornado框架，能根据现有产品的模块基于Tornado进行快速开发优化，熟练使用django；
2、 熟悉Mysql、Redis、Oracle数据库；
3、 熟悉数据结构和算法，有扎实的计算机功底和强大的编码能力；
4、 沟通良好，能在团队合作下协同工作；
5、 基于现有的平台架构，具备优化能力；
6、 对Oracle、Mysql数据库基本的查询操作、指标有一定的了解
7、 工作经验：3年及以上Python开发经验",程女士,HR,刚刚活跃,https://www.zhipin.com/job_detail/61e535ff85a266fe1nR82du8GVFW.html,通过,通过,
资深python工程师-AI方向,遥望科技,30-50K·14薪,杭州,余杭区,仓前,杭州余杭区遥望科技总部大楼1楼,3-5年,本科,PyTorch、MySQL、Python,生日福利、节日福利、绩效奖金、带薪年假、定期体检、股票期权、五险一金、生日会、女性关怀、意外险、爱心基金、健康关注、零食下午茶、补充医疗保险、交通补助、餐补、保底工资、年终奖,"岗位职责 
1、知识管理产品研发：协助大模型知识管理平台相关语料切片、效果验证调优等服务的设计、开发与优化。 
2、AI插件研发：承担AI底座中所需的各类MCP原子能力、算法对接及agent插件开发。 
3、RAG知识库研发：与算法同学协作，配合优化大模型SFT训练与推理过程中所需的数据管理和知识召回能力。 
4、协作与沟通：与团队成员密切合作，共同推进项目的进展，及时沟通并解决问题。 
5、文档编写：编写高质量的技术文档，参与技术评审和代码审查。 

任职要求 
1、编程技能：精通Python语言（Pandas、NumPy），理解Python生态工具链，熟悉常用Python框架与工具库，有langchain等大模型框架开发经验者优先（加分项）。 
2、AI开发经验：熟悉 机器学习 算法（分类、聚类、推荐系统等）和 深度学习 框架，对大模型知识库、向量数据库或相关技术有了解者优先。 
3、数据治理经验：能处理非结构化数据（文本、日志、多模态数据），具备数据清洗、 特征工程 、ETL流程设计能力。 
4、问题解决能力：能够分析和解决项目中遇到的各种技术和业务问题，具备良好的逻辑思维和问题解决能力。 
5、团队合作能力：具备良好的沟通和协作能力，能够与团队成员密切合作，共同推进项目的进展。",孟女士,招聘BP,刚刚活跃,https://www.zhipin.com/job_detail/16942a8faaec0ce903F83tq6EFRX.html,通过,通过,
Python,六久科技,10-15K,杭州,西湖区,西溪,杭州瑞利大厦7楼,3-5年,本科,Java、爬虫经验、MySQL、运维开发经验、Python,带薪年假、员工旅游、年终奖、团建聚餐、节日福利、餐补、定期体检、有无线网、生日福利、零食下午茶、五险一金,"驻场【宁波】

岗位职责：
1.负责公司数据源抓取需求，满足公司对多源数据采集要求
2.负责系统/功能模块开发与维护工作，包括接口对接、系统优化、BUG修复、脚本、单元测试、功能验证等
3.负责基于企业微信的应用开发，包括消息推送和数据播报等
4.负责低代码平台应⽤开发和搭建⼯作，快速实现业务落地
5.完成上级领导布置的其他必要⼯作，服从管理

任职要求：
1.大学本科及以上学历，计算机相关专业优先
2.两年以上系统开发经验，熟悉python、Vue、SQL、常见数据库等开发相关技术栈；
3.熟悉windows、linux、Ubuntu操作系统，及其相关执行命令和维护操作等
4.熟悉AI(如deepseek)的对接，调⽤第三方库、开源项目等处理实际问题
5.具备良好的问题分析、解决能力，团队沟通、协作能力，不畏难、有责任心",张女士,HRBP,刚刚活跃,https://www.zhipin.com/job_detail/3b4761d38bd553ad0nRy09y9FVNT.html,通过,通过,
Python开发工程师,深睿医疗,15-25K,杭州,余杭区,仓前,杭州余杭区绿创广场3号楼B座14层,3-5年,本科,Docker、Pandas、MySQL、MongoDB、Spark、Python,补充医疗保险、七险一金、试用期不打折、带薪年假、行业大牛、节日福利、零食下午茶、年终奖、餐补、五险一金,"工作职责
1. 数据开发与增强，负责开发高效的数据处理工具，负责数据的衍生计算及增强处理，优化数据质量和可用性；
2. 负责影像及其他多模态文件的标准化工具建设，实现自动化处理流程；
3. 负责产品配置平台及外部系统的接口对接，确保数据交互的稳定性和安全性；
4. 完成数据导出，统计分析等相关工具建设；
5. 编写技术文档，与产品、测试团队协作，确保需求落地和项目交付质量。

任职资格
1. 计算机科学、软件工程、数据科学或相关专业本科及以上学历；
2. 熟练掌握Python 3.x及常用库，熟悉Pandas进行数据操作（如聚合、透视、时间序列处理），有Python服务开发经验；
3. 熟练使用SQL（MySQL/PostgreSQL）及ORM工具（如SQLAlchemy），了解MongoDB，ElasticSearch等优先；
4. 熟悉Git、Docker、Linux和K8S环境，熟练使用大模型提效；
5. 熟悉多模态数据处理（如DICOM医学影像）或大数据工具（如Spark）优先；
6. 逻辑清晰，具备独立解决问题和优化代码的能力；
7. 良好的沟通能力和团队协作意识，能承担一定的工作压力；
8. 对技术有热情，关注行业动态，持续学习新技术。",陈雪迎,HRBP,刚刚活跃,https://www.zhipin.com/job_detail/e06e11f3276076cf03J92N6-FFFY.html,通过,通过,
python高级开发工程师,新箭电子,15-30K,杭州,西湖区,文三路,杭州西湖区昌地·火炬大厦1号楼507,3-5年,本科,Django、MySQL、Python,五险一金、餐补、通讯补贴、交通补助、节日福利,工作经验三年以上 视频分析类的,杨佳文,人力资源总监,刚刚活跃,https://www.zhipin.com/job_detail/2cdeb7696c9fcf621H153tu0FltR.html,通过,通过,
Python,艾罗能源,11-22K·15薪,杭州,西湖区,古荡,杭州西湖区莲花商务中心C座9楼,3-5年,本科,C、Python,生日福利、全勤奖、定期体检、绩效奖金、员工旅游、零食下午茶、餐补、节假日礼品、年终奖、餐补、股票期权、节日福利、带薪年假、团建聚餐、高温补贴、五险一金,"Python脚本实现，主要负责数据处理，以及与其他专业软件的API调用，为并网技术部提供自动化以及数据处理服务，提高研发效率

岗位要求 
1.熟悉编程语言，比如Python，C
2. 熟悉常用接口协议，比如SCI、SPI
3.Python脚本实现，主要负责数据处理，以及与其他专业软件的API调用",陈信如,招聘,刚刚活跃,https://www.zhipin.com/job_detail/ae861b95824a11581H180929FFFZ.html,通过,通过,
AIGC-Agent后端工程师（游戏，python）,某知名游戏公司,35-60K·15薪,杭州,,,杭州余杭区爱力中心A座,3-5年,本科,agent、Docker、微服务经验、Django、Redis、aigc、MongoDB、游戏、Linux开发/部署经验、Python、Kubernetes、Flask,,"职位描述
1、AI服务构建：负责LLM及Agent系统的工程化落地，基于Python构建高性能、高可用的AI微服务；
2、架构设计与接⼊：设计AI服务与游戏核⼼服务器的交互架构，确保数据在TCP/UDP/WebSocket/SSE下的实时与稳定传输；
3、性能优化：负责推理服务的性能调优、显存资源调度及容器化部署（Docker/K8s）；
4、系统运维：参与线上系统的监控与运维，快速定位并解决⽤户反馈的技术问题。
职位要求
1、核心语言：精通Python开发，熟悉FastAPI/Flask/Django等主流Web框架；具备良好的代码规范和⼯程素养；
2、游戏/微服务背景：后端开发经验；熟悉游戏服务端架构，或有高并发微服务系统设计经验；了解游戏业务中的即时通讯与状态同步机制；
3、网络编程：深入理解TCP/IP、UDP、WebSocket及SSE（Server-Sent Events）协议，有实际的网络编程与抓包调试经验；
4、数据库技术：精通Redis/MongoDB等NoSQL数据库；熟悉向量数据库（如Milvus，Chroma，FAIss）的使用与优化者优先；
5、AI工程经验：熟悉ADK、MCP、Claude Code等Agent框架概念；有LLM模型微调部署、RAG（检索增强生成）系统落地经验者高度优先；
6、综合素质：扎实的数据结构与算法基础；热爱游戏，熟悉多人联机游戏机制；具备良好的团队协作精神。",吕辰阳,猎头顾问,刚刚活跃,https://www.zhipin.com/job_detail/48e38a8e5a7bc87f0nd53Nu4ElpT.html,通过,通过,
